date, GDP
1948,345311
1949,356984
1950,368800
1951,382582
1952,388696
1953,410131
1954,427782
1955,444118
1956,451340
1957,459964
1958,465818
1959,484978
1960,515374
1961,529152
1962,534988
1963,561064
1964,592129
1965,604795
1966,614312
1967,631429
1968,665784
1969,678594
1970,696970
1971,721255
1972,752283
1973,801247
1974,781509
1975,769950
1976,792356
1977,811714
1978,845821
1979,877467
1980,859674
1981,853046
1982,870197
1983,906936
1984,927580
1985,966495
1986,996691
1987,1049581
1988,1109907
1989,1138425
1990,1146756
1991,1134296
1992,1138538
1993,1167308
1994,1212600
1995,1242548
1996,1274093
1997,1325543
1998,1367136
1999,1411112
2000,1462818
2001,1500034
2002,1536903
2003,1588019
2004,1625567
2005,1675896
2006,1717055
2007,1757521
2008,1749216
2009,1675963
2010,1704364
2011,1729121
2012,1754736
2013,1790750
2014,1845444
2015,1888737
2016,1925299
1955-03-31,109967
1955-06-30,110087
1955-09-30,112333
1955-12-31,111731
1956-03-31,112952
1956-06-30,112709
1956-09-30,112601
1956-12-31,113078
1957-03-31,115315
1957-06-30,115292
1957-09-30,114582
1957-12-31,114775
1958-03-31,117141
1958-06-30,114500
1958-09-30,117021
1958-12-31,117156
1959-03-31,117746
1959-06-30,119698
1959-09-30,122217
1959-12-31,125317
1960-03-31,128387
1960-06-30,127435
1960-09-30,129377
1960-12-31,130175
1961-03-31,132264
1961-06-30,132827
1961-09-30,132146
1961-12-31,131915
1962-03-31,132518
1962-06-30,133771
1962-09-30,134583
1962-12-31,134116
1963-03-31,134806
1963-06-30,140603
1963-09-30,141248
1963-12-31,144407
1964-03-31,145283
1964-06-30,147815
1964-09-30,148402
1964-12-31,150629
1965-03-31,150213
1965-06-30,150394
1965-09-30,151631
1965-12-31,152557
1966-03-31,152816
1966-06-30,153708
1966-09-30,154216
1966-12-31,153572
1967-03-31,155661
1967-06-30,157844
1967-09-30,158539
1967-12-31,159385
1968-03-31,165181
1968-06-30,164483
1968-09-30,167735
1968-12-31,168385
1969-03-31,168034
1969-06-30,169272
1969-09-30,170214
1969-12-31,171074
1970-03-31,170015
1970-06-30,173987
1970-09-30,175726
1970-12-31,177242
1971-03-31,176228
1971-06-30,179369
1971-09-30,182465
1971-12-31,183193
1972-03-31,183407
1972-06-30,188291
1972-09-30,188809
1972-12-31,191776
