"Title","Gross Domestic Product: chained volume measures: Seasonally adjusted £m"
"CDID","ABMI"
"Source dataset ID","QNA"
"PreUnit","£"
"Unit","m"
"Release date","22-12-2017"
"Next release","29 March 2018"
"Important notes",
"1948","345311"
"1949","356984"
"1950","368800"
"1951","382582"
"1952","388696"
"1953","410131"
"1954","427782"
"1955","444118"
"1956","451340"
"1957","459964"
"1958","465818"
"1959","484978"
"1960","515374"
"1961","529152"
"1962","534988"
"1963","561064"
"1964","592129"
"1965","604795"
"1966","614312"
"1967","631429"
"1968","665784"
"1969","678594"
"1970","696970"
"1971","721255"
"1972","752283"
"1973","801247"
"1974","781509"
"1975","769950"
"1976","792356"
"1977","811714"
"1978","845821"
"1979","877467"
"1980","859674"
"1981","853046"
"1982","870197"
"1983","906936"
"1984","927580"
"1985","966495"
"1986","996691"
"1987","1049581"
"1988","1109907"
"1989","1138425"
"1990","1146756"
"1991","1134296"
"1992","1138538"
"1993","1167308"
"1994","1212600"
"1995","1242548"
"1996","1274093"
"1997","1325543"
"1998","1367136"
"1999","1411112"
"2000","1462818"
"2001","1500034"
"2002","1536903"
"2003","1588019"
"2004","1625567"
"2005","1675896"
"2006","1717055"
"2007","1757521"
"2008","1749216"
"2009","1675963"
"2010","1704364"
"2011","1729121"
"2012","1754736"
"2013","1790750"
"2014","1845444"
"2015","1888737"
"2016","1925299"
"1955 Q1","109967"
"1955 Q2","110087"
"1955 Q3","112333"
"1955 Q4","111731"
"1956 Q1","112952"
"1956 Q2","112709"
"1956 Q3","112601"
"1956 Q4","113078"
"1957 Q1","115315"
"1957 Q2","115292"
"1957 Q3","114582"
"1957 Q4","114775"
"1958 Q1","117141"
"1958 Q2","114500"
"1958 Q3","117021"
"1958 Q4","117156"
"1959 Q1","117746"
"1959 Q2","119698"
"1959 Q3","122217"
"1959 Q4","125317"
"1960 Q1","128387"
"1960 Q2","127435"
"1960 Q3","129377"
"1960 Q4","130175"
"1961 Q1","132264"
"1961 Q2","132827"
"1961 Q3","132146"
"1961 Q4","131915"
"1962 Q1","132518"
"1962 Q2","133771"
"1962 Q3","134583"
"1962 Q4","134116"
"1963 Q1","134806"
"1963 Q2","140603"
"1963 Q3","141248"
"1963 Q4","144407"
"1964 Q1","145283"
"1964 Q2","147815"
"1964 Q3","148402"
"1964 Q4","150629"
"1965 Q1","150213"
"1965 Q2","150394"
"1965 Q3","151631"
"1965 Q4","152557"
"1966 Q1","152816"
"1966 Q2","153708"
"1966 Q3","154216"
"1966 Q4","153572"
"1967 Q1","155661"
"1967 Q2","157844"
"1967 Q3","158539"
"1967 Q4","159385"
"1968 Q1","165181"
"1968 Q2","164483"
"1968 Q3","167735"
"1968 Q4","168385"
"1969 Q1","168034"
"1969 Q2","169272"
"1969 Q3","170214"
"1969 Q4","171074"
"1970 Q1","170015"
"1970 Q2","173987"
"1970 Q3","175726"
"1970 Q4","177242"
"1971 Q1","176228"
"1971 Q2","179369"
"1971 Q3","182465"
"1971 Q4","183193"
"1972 Q1","183407"
"1972 Q2","188291"
"1972 Q3","188809"
"1972 Q4","191776"
"1973 Q1","201278"
"1973 Q2","201529"
"1973 Q3","199651"
"1973 Q4","198789"
"1974 Q1","193358"
"1974 Q2","196156"
"1974 Q3","197427"
"1974 Q4","194568"
"1975 Q1","194657"
"1975 Q2","191458"
"1975 Q3","190828"
"1975 Q4","193007"
"1976 Q1","196078"
"1976 Q2","195737"
"1976 Q3","198180"
"1976 Q4","202361"
"1977 Q1","202475"
"1977 Q2","200982"
"1977 Q3","202386"
"1977 Q4","205871"
"1978 Q1","207654"
"1978 Q2","210180"
"1978 Q3","213020"
"1978 Q4","214967"
"1979 Q1","214129"
"1979 Q2","223624"
"1979 Q3","218709"
"1979 Q4","221005"
"1980 Q1","218845"
